  31
   1    0.00000    1.00000
   2    0.06667    0.90000
   3    0.13333    0.69231
   4    0.20000    0.50000
   5    0.26667    0.36000
   6    0.33333    0.26471
   7    0.40000    0.20000
   8    0.46667    0.15517
   9    0.53333    0.12329
  10    0.60000    0.10000
  11    0.66667    0.08257
  12    0.73333    0.06923
  13    0.80000    0.05882
  14    0.86667    0.05056
  15    0.93333    0.04390
  16    1.00000    0.03846
  17    1.06667    0.03396
  18    1.13333    0.03020
  19    1.20000    0.02703
  20    1.26667    0.02432
  21    1.33333    0.02200
  22    1.40000    0.02000
  23    1.46667    0.01826
  24    1.53333    0.01673
  25    1.60000    0.01538
  26    1.66667    0.01420
  27    1.73333    0.01314
  28    1.80000    0.01220
  29    1.86667    0.01135
  30    1.93333    0.01059
  31    2.00000    0.00990
   0
