  64
   1  0.49940  0.02453 
   2  0.49459  0.07337 
   3  0.48502  0.12149 
   4  0.47077  0.16844 
   5  0.45199  0.21378 
   6  0.42886  0.25705
   7  0.40160  0.29785
   8  0.37048  0.33578
   9  0.33578  0.37048
  10  0.29785  0.40160
  11  0.25705  0.42886
  12  0.21378  0.45199
  13  0.16844  0.47077
  14  0.12149  0.48502
  15  0.07337  0.49459
  16  0.02453  0.49940
  17 -0.02453  0.49940
  18 -0.07337  0.49459
  19 -0.12149  0.48502
  20 -0.16844  0.47077
  21 -0.21378  0.45199
  22 -0.25705  0.42886
  23 -0.29785  0.40160 
  24 -0.33578  0.37048 
  25 -0.37048  0.33578 
  26 -0.40160  0.29785 
  27 -0.42886  0.25705 
  28 -0.45199  0.21378 
  29 -0.47077  0.16844 
  30 -0.48502  0.12149 
  31 -0.49459  0.07337 
  32 -0.49940  0.02453
  33 -0.49940 -0.02453
  34 -0.49459 -0.07337
  35 -0.48502 -0.12149
  36 -0.47077 -0.16844
  37 -0.45199 -0.21378
  38 -0.42886 -0.25705
  39 -0.40160 -0.29785
  40 -0.37048 -0.33578
  41 -0.33578 -0.37048
  42 -0.29785 -0.40160
  43 -0.25705 -0.42886
  44 -0.21378 -0.45199
  45 -0.16844 -0.47077
  46 -0.12149 -0.48502
  47 -0.07337 -0.49459
  48 -0.02453 -0.49940
  49  0.02453 -0.49940
  50  0.07337 -0.49459
  51  0.12149 -0.48502
  52  0.16844 -0.47077
  53  0.21378 -0.45199
  54  0.25705 -0.42886
  55  0.29785 -0.40160
  56  0.33578 -0.37048
  57  0.37048 -0.33578
  58  0.40160 -0.29785
  59  0.42886 -0.25705
  60  0.45199 -0.21378
  61  0.47077 -0.16844
  62  0.48502 -0.12149
  63  0.49459 -0.07337
  64  0.49940 -0.02453
