2
 4.0 -4.0
-0.5  2.0
5
0.5 0.4 0.3 0.2 0.1  general
0.1 0.2 0.7 0.1 0.8
0.3 0.2 2.0 0.1 0.0
0.2 0.1 0.3 0.1 0.0
0.1 0.8 6.0 0.5 0.1
5
0.5 0.4 0.3 0.2 0.1  general
0.1 0.2 0.7 0.1 0.8
0.1 0.2 2.0 0.1 0.9
0.2 0.1 0.3 0.1 0.7
0.1 0.0 6.0 0.5 0.1
5
0.5 0.4 0.3 0.2 0.1 symmetric
0.4 0.2 0.7 0.1 0.8
0.3 0.7 0.0 0.1 0.0
0.2 0.1 0.1 0.1 0.5
0.1 0.8 0.0 0.5 0.1
5
0.5 0.4 0.0 0.0 0.0   tridiagonal
0.1 0.2 0.7 0.0 0.0
0.0 0.2 4.0 7.0 0.0
0.0 0.0 1.0 9.1 1.0
0.0 0.0 0.0 0.5 1.1
5
0.2 0.4 0.5 0.8 0.3   H
0.0 0.2 0.7 0.8 0.3
0.0 0.0 4.0 7.0 0.3
0.0 0.0 0.8 9.1 1.2
0.0 0.0 0.0 1.0 1.1
5
0.2 0.4 0.5 0.8 0.3   U
0.0 0.2 0.7 0.8 0.3
0.0 0.0 4.0 7.0 0.3
0.0 0.0 0.7 9.1 1.2
0.0 0.0 0.0 0.0 1.1
